Lineup 1,Team 1,GP 1,MIN 1,OFFRTG 1,DEFRTG 1,NETRTG 1,Lineup 2,Team 2,GP 2,MIN 2,OFFRTG 2,DEFRTG 2,NETRTG 2,Common Players,Player Removed,Player Added,OFFRTG Difference,DEFRTG Difference,NETRTG Difference,Substituted Minutes
N. Vučević - Z. LaVine - C. White - P. Williams - J. Giddey,CHI,22,250,106.7,111.8,-5.1,N. Vučević - C. White - P. Williams - A. Dosunmu - J. Giddey,CHI,4,47,117.3,148.0,-30.7,"N. Vučević, C. White, P. Williams, J. Giddey",Z. LaVine,A. Dosunmu,10.599999999999994,36.2,-25.6,203
N. Vučević - Z. LaVine - C. White - P. Williams - J. Giddey,CHI,22,250,106.7,111.8,-5.1,N. Vučević - Z. LaVine - L. Ball - C. White - P. Williams,CHI,7,33,131.0,101.3,29.7,"N. Vučević, C. White, Z. LaVine, P. Williams",J. Giddey,L. Ball,24.299999999999997,-10.5,34.8,217
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,14,226,120.2,116.2,4.0,"J. Murray, N. Jokić, M. Porter Jr., C. Braun",R. Westbrook,A. Gordon,-6.099999999999994,-3.700000000000003,-2.5,20
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,N. Jokić - J. Murray - M. Porter Jr. - C. Braun - P. Watson,DEN,12,156,128.6,115.5,13.1,"J. Murray, N. Jokić, M. Porter Jr., C. Braun",R. Westbrook,P. Watson,2.299999999999997,-4.400000000000006,6.6,90
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,R. Westbrook - A. Gordon - N. Jokić - M. Porter Jr. - C. Braun,DEN,18,115,129.4,104.8,24.6,"N. Jokić, M. Porter Jr., C. Braun, R. Westbrook",J. Murray,A. Gordon,3.1000000000000085,-15.100000000000009,18.1,131
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,R. Westbrook - N. Jokić - M. Porter Jr. - C. Braun - P. Watson,DEN,24,104,118.3,112.1,6.1,"N. Jokić, M. Porter Jr., C. Braun, R. Westbrook",J. Murray,P. Watson,-8.0,-7.800000000000011,-0.40000000000000036,142
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,R. Westbrook - A. Gordon - N. Jokić - J. Murray - M. Porter Jr.,DEN,13,82,130.6,112.5,18.1,"J. Murray, N. Jokić, M. Porter Jr., R. Westbrook",C. Braun,A. Gordon,4.299999999999997,-7.400000000000006,11.600000000000001,164
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,R. Westbrook - N. Jokić - M. Porter Jr. - J. Strawther - C. Braun,DEN,15,56,137.6,92.7,44.9,"N. Jokić, M. Porter Jr., C. Braun, R. Westbrook",J. Murray,J. Strawther,11.299999999999997,-27.200000000000003,38.4,190
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,R. Westbrook - D. Jordan - J. Murray - M. Porter Jr. - C. Braun,DEN,7,48,104.9,103.9,1.0,"J. Murray, M. Porter Jr., C. Braun, R. Westbrook",N. Jokić,D. Jordan,-21.39999999999999,-16.0,-5.5,198
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - P. Watson,DEN,11,40,129.4,85.0,44.4,"J. Murray, N. Jokić, M. Porter Jr., R. Westbrook",C. Braun,P. Watson,3.1000000000000085,-34.900000000000006,37.9,206
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,R. Westbrook - D. Šarić - J. Murray - M. Porter Jr. - C. Braun,DEN,5,27,124.1,131.6,-7.5,"J. Murray, M. Porter Jr., C. Braun, R. Westbrook",N. Jokić,D. Šarić,-2.200000000000003,11.699999999999989,-14.0,219
R. Westbrook - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,19,246,126.3,119.9,6.5,R. Westbrook - N. Jokić - J. Murray - C. Braun - P. Watson,DEN,13,27,130.6,117.5,13.2,"J. Murray, N. Jokić, C. Braun, R. Westbrook",M. Porter Jr.,P. Watson,4.299999999999997,-2.4000000000000057,6.699999999999999,219
